항목명,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,당기 1분기 3개월_0,당기 1분기 3개월_1,당기 1분기 3개월_0,당기 1분기 3개월_1
판매비와관리비,CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2020-03-31,1분기보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses,,,"872,234,241","9,156,307,346"
기타영업외비용,CS,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,dart_OtherLosses,,,"922,969","922,969"
기타영업외수익,CS,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,dart_OtherGains,,,"9,863,425","10,766,349"
당기연결순이익(손실),CS,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,entity00303703,,,,"-431,282,325"
비지배지분,CS,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,,,,0
비지배지분,CS,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,,,,0
비지배지분,CS,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,,,,0
지배기업소유주지분,CS,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,,,,"-431,282,325"
지분법이익(손실),CSA 코스믹,코스닥시장상장법인,204,기타 화학제품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,,,,"-10,120,546"
기타포괄손익-공정가치측정금융자산평가손익,CS홀딩스,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,,,"-102,083,982","-440,921,550"
기본및희석주당순이익(손실),DB,유가증권시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",12,2020-03-31,1분기보고서,KRW,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,,,63,
비지배지분,DB,유가증권시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",12,2020-03-31,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,,,,0
지배기업의소유주지분,DB,유가증권시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLossAttributableToOwnersOfParent,,,,"-18,946,051,312"
지분법손실,DB하이텍,유가증권시장상장법인,261,반도체 제조업,12,2020-03-31,1분기보고서,KRW,dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,,0,,
지분법이익,DB하이텍,유가증권시장상장법인,261,반도체 제조업,12,2020-03-31,1분기보고서,KRW,dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,,"36,258",,
경상개발비,DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,dart_OrdinaryDevelopmentExpense,,,"649,134,225","1,512,986,482"
금융비용,DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceCosts,,,,"886,441,746"
금융수익,DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceIncome,,,,"78,497,062"
기타영업외비용,DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,dart_OtherLosses,,,"2,400,314,620","2,930,675,045"
기타영업외수익,DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,dart_OtherGains,,,"10,474,453,704","11,341,486,387"
기타포괄손익-공정가치측정금융자산평가손익,DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,,,0,0
당기손익으로재분류되지않는항목의법인세,DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,dart_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLoss,,,0,0
지분법자본변동,DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,,,,"1,270,070"
지분법투자손익,DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,,,,"565,060,579"
판매관리비,DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,dart_MiscellaneousExpenses,,,,"7,710,422,528"
해외사업환산손익,DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,,,"-860,665","850,664,445"
후속적으로당기손익으로재분류되지않는항목,DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,,,0,0
관계기업투자손익,DRB동일,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,,,"29,557,110","29,557,110"
